PLAYERS,LEAGUE,POSITION,TEAM,MATCHES_PLAYED,MINUTES_PLAYED,DISTANCE_COVERED,DISTANCE_COVERED_IN_POSSESSION,DISTANCE_COVERED_NOT_IN_POSSESSION,TOP_SPEED,TOTAL_GOALS_SCORED,OFFSIDES,SOLO_RUNS_INTO_AREA,LOST_BALLS,DELIVERIES_IN_PENALTY_AREA,TACKLES,TACKLES_SUFFERED,TACKLES_WON,ATTEMPTED_CLEARANCES,CLEARANCE_RATE,SAVES,BLOCKS,RECOVERED_BALLS,YELLOW_CARDS,SECOND_YELLOW_CARD_AND_RED_CARD,RED_CARDS,FOULS_COMMITTED,FOULS_SUFFERED,FOULS_CAUSING_A_PENALTY,ASSISTS,PENALTIES_SCORED,GOALS_SCORED_WITH_THE_LEFT_FOOT,GOALS_SCORED_WITH_THE_RIGHT_FOOT,HEADED_GOALS,SHOTS,ATTEMPTS_ON_TARGET,ATTEMPTS_OFF-TARGET,WOODWORK,TOTAL_PASSES,PASSES_COMPLETED,PASSES_COMPLETED_PERCENT,CROSSES,CROSSES_COMPLETED,CROSSES_COMPLETED_PERCENT,CORNERS,THROW-INS,THROW-INS_COMPLETED
FRED,WC Players,F,Brazil,6,471,47.2,17.3,13.8,27.8,1,5,0,33,3,0,8,,,,,,,0,0,0,6,7,0,0,0,0,0,1,11,9,2,0,109,68,0.62,1,0,,0,0,0
Jan VERTONGHEN,WC Players,D,Belgium,5,449,47.2,16.2,17.1,31.2,1,0,1,43,5,8,2,2,7,1,0,4,25,1,0,0,4,3,1,0,0,1,0,0,10,5,5,0,273,195,0.71,18,3,0.17,0,43,28
Gokhan INLER,WC Players,M,Switzerland,4,390,47.1,15.9,18.1,28.5,,,,,,,,4,6,0.84,0,1,24,0,0,0,8,6,0,,,,,,7,3,4,0,258,207,0.8,6,2,0.33,2,0,0
Charles ARANGUIZ,WC Players,M,Chile,4,364,47,17.9,15.9,29.1,1,1,0,22,1,9,8,2,2,1,0,1,15,1,0,0,3,5,0,1,0,0,1,0,4,4,0,0,166,133,0.8,3,1,0.33,0,0,0
Cristian GAMBOA,WC Players,D,Costa Rica,5,426,47,13.9,18.8,31.2,,,,,,,,5,8,0.63,0,0,24,0,0,0,9,8,0,,,,,,1,0,1,0,190,120,0.63,14,2,0.14,0,40,22
PAULINHO,WC Players,M,Brazil,6,386,46.9,18.7,15,28.1,,,,,,,,1,2,0.5,0,0,7,0,0,0,9,2,0,,,,,,8,6,2,0,144,111,0.77,2,1,0.5,0,1,0
Stephan LICHTSTEINER,WC Players,D,Switzerland,4,390,46.1,16,17.7,29.8,,,,,,,,2,4,0.5,0,3,17,0,0,0,6,7,0,,,,,,2,1,1,0,212,161,0.76,5,1,0.2,0,36,22
James RODRIGUEZ,WC Players,M,Colombia,5,399,46.1,16,15.5,30.9,6,0,2,41,17,9,8,1,0,,0,1,10,1,0,0,10,12,0,2,1,4,1,1,17,16,1,0,232,160,0.69,24,10,0.42,13,4,4
Christian BOLANOS,WC Players,M,Costa Rica,5,413,46,14.2,17.1,32.3,,,,,,,,2,2,1,0,2,15,0,0,0,14,4,0,,,,,,8,6,2,0,148,90,0.61,18,5,0.28,8,1,1
Pablo ARMERO,WC Players,D,Colombia,5,416,45.9,15.1,15.8,31.9,1,2,2,37,7,3,5,1,7,0.86,0,1,17,1,0,0,8,4,0,0,0,0,1,0,1,1,0,0,202,147,0.73,12,3,0.25,0,45,31
Eugenio MENA,WC Players,D,Chile,4,390,45.9,16.7,16,30.6,,,,,,,,0,8,0.75,0,1,22,2,0,0,5,3,0,,,,,,2,1,1,0,219,155,0.71,19,2,0.11,0,39,26
Xherdan SHAQIRI,WC Players,M,Switzerland,4,387,45.8,15.8,16.4,28.9,3,1,2,43,12,5,22,1,1,,0,0,13,0,0,0,11,17,0,0,0,3,0,0,21,16,5,0,207,155,0.75,15,4,0.27,9,2,1
Angel DI MARIA,WC Players,M,Argentina,5,423,45.8,19.6,13.8,33,1,0,7,63,18,5,17,2,1,1,0,0,9,1,0,0,3,10,0,0,0,1,0,0,25,21,4,1,312,205,0.66,49,11,0.22,17,12,10
Axel WITSEL,WC Players,M,Belgium,4,390,45.7,16.5,15.9,30,,,,,,,,1,7,1,0,0,23,1,0,0,4,12,0,,,,,,9,5,4,0,250,224,0.9,0,0,,0,3,3
Toby ALDERWEIRELD,WC Players,D,Belgium,4,390,45.7,16.7,15.4,29.6,,,,,,,,3,8,0.63,0,2,18,2,0,0,7,6,0,,,,,,2,1,1,0,262,184,0.7,16,3,0.19,0,56,38
Clint DEMPSEY,WC Players,F,USA,4,387,45.4,15.3,16.1,28.8,2,2,2,35,1,2,14,1,7,0.86,0,0,5,0,0,0,5,6,0,0,0,1,0,1,12,9,3,0,133,99,0.74,2,0,,0,0,0
Sofiane FEGHOULI,WC Players,F,Algeria,4,390,45.3,13.4,18.3,31.1,1,0,2,43,1,6,10,1,2,1,0,1,14,0,0,0,5,8,0,2,1,0,1,0,5,2,3,0,134,83,0.62,8,0,,0,2,1
Michael UMANA,WC Players,D,Costa Rica,4,420,45.2,11.3,19.1,29.2,,,,,,,,3,14,0.58,0,1,24,1,0,0,4,2,0,,,,,,,,,,143,119,0.83,0,0,,0,1,1
Daryl JANMAAT,WC Players,D,Netherlands,5,364,44.8,15.9,17.1,30,,,,,,,,2,6,1,0,0,27,0,0,0,8,1,1,,,,,,,,,,207,156,0.75,9,2,0.22,0,35,26
Lucas BIGLIA,WC Players,M,Argentina,7,349,44.7,14.9,18.9,27.4,,,,,,,,2,2,1,0,2,15,1,0,0,6,9,0,,,,,,1,1,0,0,186,153,0.82,0,0,,0,2,2
Per MERTESACKER,WC Players,D,Germany,6,435,44.6,17,14.7,28.1,,,,,,,,1,18,0.84,0,1,35,0,0,0,3,3,0,,,,,,,,,,352,321,0.91,0,0,,0,0,0
Dani ALVES,WC Players,D,Brazil,4,390,44.5,16.3,15.3,28.9,,,,,,,,4,2,1,0,0,18,1,0,0,4,6,0,,,,,,5,2,3,0,309,240,0.78,13,2,0.15,0,51,35
Fernando GAGO,WC Players,M,Argentina,6,373,44.4,18.3,14.1,30.3,,,,,,,,2,1,1,0,0,22,0,0,0,6,11,0,,,,,,2,1,1,0,359,316,0.88,3,0,,1,8,8
Mauricio ISLA,WC Players,D,Chile,4,390,44.4,16.3,15.3,28.7,,,,,,,,3,6,0.84,0,4,22,0,0,0,4,7,0,,,,,,2,1,1,0,264,203,0.77,6,1,0.17,0,56,40
Hector HERRERA,WC Players,M,Mexico,4,346,44.2,14.9,15.5,29.6,,,,,,,,3,5,0.8,0,1,17,0,0,0,7,5,0,,,,,,7,1,6,1,225,163,0.72,12,4,0.33,7,3,0
Ezequiel LAVEZZI,WC Players,F,Argentina,6,358,43.8,17.6,14.8,31.6,,,,,,,,0,2,1,0,0,2,0,0,0,2,12,0,,,,,,5,5,0,0,164,93,0.57,32,5,0.16,14,4,3
Gonzalo JARA,WC Players,D,Chile,4,390,43.7,15.4,14.4,31.2,,,,,,,,1,3,1,0,1,22,0,0,0,7,2,0,,,,,,1,0,1,0,264,217,0.82,3,1,0.33,0,6,6
Vincent KOMPANY,WC Players,D,Belgium,4,390,42.9,14.5,15.6,28.7,,,,,,,,2,10,1,0,2,33,1,0,0,4,1,0,,,,,,2,1,1,0,226,193,0.85,0,0,,0,1,1
DaMarcus BEASLEY,WC Players,D,USA,4,390,42.8,13,18.5,30.2,,,,,,,,0,6,1,0,2,20,0,0,0,4,9,0,,,,,,1,0,1,0,232,179,0.77,10,2,0.2,0,39,20
Edinson CAVANI,WC Players,F,Uruguay,4,360,42.7,12.1,15.3,31,1,5,2,26,2,5,5,0,2,1,0,0,5,0,0,0,8,3,0,1,1,0,1,0,12,5,7,0,110,83,0.75,4,1,0.25,0,1,1
Eden HAZARD,WC Players,M,Belgium,5,368,42.1,16.8,13.2,28.1,,,,,,,,1,0,,0,0,6,1,0,0,6,10,0,,,,,,7,6,1,0,176,132,0.75,5,0,,0,3,3
Juan CUADRADO,WC Players,M,Colombia,5,387,42,13.9,14.6,31.6,1,0,1,40,5,16,17,4,3,0.67,0,2,8,0,0,0,9,19,0,4,1,0,1,0,8,4,4,0,158,109,0.69,12,3,0.25,2,0,0
